Rung,Model,Family,Dev macro-F1,Test macro-F1,Test accuracy,Test macro-P,Test macro-R,Δ vs floor (pp),Δ vs previous (pp),Params,Train time (s),Size (MB),Epochs
0,TF-IDF + LogisticRegression,Classical floor,0.8903,0.8903,0.8899,0.8952,0.8899,0.0,,1817816,19.7,15.4,
1,SimpleRNN,Recurrent,0.8115,0.8115,0.8107,0.8209,0.8107,-7.88,-7.88,254365,77.3,3.08,23.0
2,GRU,Recurrent,0.8454,0.8454,0.8451,0.8504,0.8451,-4.49,3.39,275677,131.5,3.34,18.0
3,LSTM,Recurrent,0.857,0.857,0.8568,0.8629,0.8568,-3.33,1.16,286045,121.6,3.46,18.0
4,BiLSTM + GloVe (enhanced),Recurrent (enhanced),0.909,0.909,0.9091,0.9119,0.9091,1.88,5.2,404957,869.2,9.92,30.0
